Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk,Partition date
28,34.0,male,2.0,own,little,moderate,2415,7.0,radio/TV,,07.08.2021
29,63.0,male,2.0,own,little,little,6836,60.0,business,,08.08.2021
30,36.0,male,2.0,own,rich,moderate,1913,18.0,business,,09.08.2021
31,27.0,male,2.0,own,little,little,4020,24.0,furniture/equipment,,10.08.2021
32,30.0,male,2.0,own,moderate,moderate,5866,18.0,car,,11.08.2021
33,57.0,male,1.0,rent,,,1264,12.0,business,,12.08.2021
34,33.0,female,3.0,own,little,rich,1474,12.0,furniture/equipment,,13.08.2021
35,25.0,male,1.0,own,little,moderate,4746,45.0,radio/TV,,14.08.2021
36,31.0,male,2.0,free,little,,6110,48.0,education,,15.08.2021
37,37.0,male,2.0,own,little,rich,2100,18.0,radio/TV,,16.08.2021
38,37.0,male,2.0,own,little,rich,1225,10.0,domestic appliances,,17.08.2021
39,24.0,male,2.0,own,little,moderate,458,9.0,radio/TV,,18.08.2021
40,30.0,male,3.0,own,quite rich,,2333,30.0,radio/TV,,19.08.2021
41,26.0,male,2.0,own,quite rich,moderate,1158,12.0,radio/TV,,20.08.2021
42,44.0,male,1.0,own,little,moderate,6204,18.0,repairs,good,21.08.2021
43,24.0,male,2.0,rent,moderate,little,6187,30.0,car,good,22.08.2021
44,58.0,female,1.0,free,little,little,6143,48.0,car,bad,23.08.2021
45,35.0,female,3.0,own,little,,1393,11.0,car,good,24.08.2021
46,39.0,male,2.0,own,quite rich,,2299,36.0,radio/TV,good,25.08.2021
47,23.0,female,0.0,rent,quite rich,little,1352,6.0,car,good,26.08.2021
48,39.0,male,1.0,own,little,,7228,11.0,car,good,27.08.2021
49,28.0,female,2.0,own,moderate,,2073,12.0,radio/TV,good,28.08.2021
50,29.0,male,1.0,own,,moderate,2333,24.0,furniture/equipment,good,29.08.2021
51,30.0,male,3.0,own,little,moderate,5965,27.0,car,good,30.08.2021
52,25.0,male,2.0,own,little,,1262,12.0,radio/TV,good,31.08.2021
53,31.0,male,2.0,own,,,3378,18.0,car,good,01.09.2021
54,57.0,male,2.0,free,little,moderate,2225,36.0,car,bad,02.09.2021
55,26.0,male,1.0,own,,,783,6.0,car,good,03.09.2021
56,52.0,male,3.0,own,,moderate,6468,12.0,radio/TV,bad,04.09.2021
57,31.0,female,2.0,own,little,,9566,36.0,radio/TV,good,05.09.2021
58,23.0,female,3.0,own,little,rich,1961,18.0,car,good,06.09.2021
59,23.0,female,1.0,rent,little,little,6229,36.0,furniture/equipment,bad,07.09.2021
60,27.0,male,2.0,own,little,moderate,1391,9.0,business,good,08.09.2021
61,50.0,male,2.0,own,,moderate,1537,15.0,radio/TV,good,09.09.2021
62,61.0,male,3.0,free,little,moderate,1953,36.0,business,bad,10.09.2021
63,25.0,male,2.0,own,little,moderate,14421,,business,bad,11.09.2021
64,26.0,female,2.0,own,little,,3181,,radio/TV,good,12.09.2021
65,48.0,male,2.0,own,,,5190,,repairs,good,13.09.2021
66,29.0,female,2.0,own,little,,2171,,radio/TV,good,14.09.2021
67,22.0,male,2.0,own,rich,moderate,1007,,car,good,15.09.2021
68,37.0,male,2.0,free,little,,1819,,education,bad,16.09.2021
69,25.0,female,2.0,own,,,2394,,radio/TV,good,17.09.2021
70,30.0,female,2.0,own,little,,8133,,car,good,18.09.2021
71,46.0,male,1.0,rent,,,730,,radio/TV,good,19.09.2021
72,51.0,male,3.0,free,little,little,1164,,vacation/others,good,20.09.2021
73,41.0,female,1.0,own,little,moderate,5954,,business,good,21.09.2021
74,40.0,male,3.0,own,,little,1977,,education,bad,22.09.2021
75,66.0,male,3.0,free,little,little,1526,,car,good,23.09.2021
76,34.0,male,2.0,own,little,little,3965,,radio/TV,bad,24.09.2021
77,51.0,male,2.0,own,little,moderate,4771,,radio/TV,good,25.09.2021
78,39.0,male,1.0,own,,,9436,54.0,car,good,26.09.2021
79,22.0,male,2.0,own,little,moderate,3832,30.0,furniture/equipment,good,27.09.2021
80,44.0,female,2.0,own,,,5943,24.0,radio/TV,bad,28.09.2021
81,47.0,male,2.0,own,quite rich,,1213,15.0,radio/TV,good,29.09.2021
82,24.0,female,1.0,rent,moderate,,1568,18.0,business,good,30.09.2021
83,58.0,female,1.0,own,little,little,1755,24.0,vacation/others,good,01.10.2021
84,52.0,male,1.0,own,little,little,2315,10.0,radio/TV,good,02.10.2021
85,29.0,female,3.0,own,little,,1412,12.0,business,good,03.10.2021
86,27.0,female,2.0,own,little,moderate,1295,18.0,furniture/equipment,good,04.10.2021
87,47.0,male,2.0,free,moderate,moderate,12612,36.0,education,bad,05.10.2021
88,30.0,male,3.0,own,moderate,little,2249,18.0,car,good,06.10.2021
89,28.0,male,2.0,own,little,little,1108,12.0,repairs,bad,07.10.2021
90,,male,2.0,own,little,,618,12.0,radio/TV,good,08.10.2021
91,,male,2.0,own,little,little,1409,12.0,car,good,09.10.2021
92,,female,1.0,own,,,797,12.0,radio/TV,bad,10.10.2021
93,,male,2.0,rent,,rich,3617,24.0,furniture/equipment,good,11.10.2021
94,,male,2.0,own,rich,moderate,1318,12.0,car,good,12.10.2021
95,,male,2.0,rent,little,moderate,15945,54.0,business,bad,13.10.2021
96,,female,2.0,own,,,2012,12.0,education,good,14.10.2021
97,,male,2.0,own,moderate,moderate,2622,18.0,business,good,15.10.2021
98,,male,2.0,own,little,moderate,2337,36.0,radio/TV,good,16.10.2021
99,,male,3.0,rent,,moderate,7057,20.0,car,good,17.10.2021
100,,male,1.0,rent,moderate,,1469,24.0,car,good,18.10.2021
101,,male,2.0,rent,little,moderate,2323,36.0,radio/TV,good,19.10.2021
102,,female,2.0,own,little,,932,6.0,radio/TV,good,20.10.2021
103,,male,2.0,rent,little,moderate,1919,9.0,furniture/equipment,good,21.10.2021
104,,male,2.0,rent,,,2445,12.0,car,good,22.10.2021
105,,male,3.0,own,little,moderate,11938,24.0,vacation/others,bad,23.10.2021
106,,male,3.0,own,little,,6458,18.0,car,bad,24.10.2021
107,,male,2.0,own,little,moderate,6078,12.0,car,good,25.10.2021
108,,female,2.0,own,,little,7721,24.0,furniture/equipment,good,26.10.2021
109,,male,2.0,own,quite rich,moderate,1410,14.0,business,good,27.10.2021
110,,male,2.0,own,moderate,moderate,1449,6.0,business,good,28.10.2021
111,,female,2.0,rent,little,rich,392,15.0,education,good,29.10.2021
112,,male,1.0,rent,little,moderate,6260,18.0,car,good,30.10.2021
113,,female,2.0,own,little,,7855,36.0,car,bad,31.10.2021
114,,male,2.0,own,quite rich,little,1680,12.0,radio/TV,good,01.11.2021
115,,male,2.0,own,,,3578,48.0,radio/TV,good,02.11.2021
116,,female,3.0,own,,little,7174,42.0,radio/TV,bad,03.11.2021
117,,female,2.0,rent,,little,2132,10.0,furniture/equipment,good,04.11.2021
118,,female,2.0,own,quite rich,little,4281,33.0,furniture/equipment,bad,05.11.2021
119,,male,3.0,own,quite rich,moderate,2366,12.0,car,good,06.11.2021
120,,female,2.0,own,little,little,1835,21.0,radio/TV,bad,07.11.2021
121,,female,3.0,rent,little,,3868,24.0,car,good,08.11.2021
122,,male,1.0,rent,little,,1768,12.0,furniture/equipment,good,09.11.2021
123,,male,2.0,free,little,rich,781,10.0,car,good,10.11.2021
124,,female,2.0,rent,,moderate,1924,18.0,furniture/equipment,bad,11.11.2021
125,,male,2.0,own,little,little,2121,12.0,car,good,12.11.2021
126,,male,1.0,own,little,little,701,12.0,radio/TV,good,13.11.2021
127,,male,2.0,own,little,moderate,639,12.0,repairs,bad,14.11.2021
128,,male,3.0,own,little,moderate,1860,12.0,car,good,15.11.2021
129,,female,2.0,own,little,little,3499,12.0,car,bad,16.11.2021
130,,female,2.0,own,,moderate,8487,48.0,car,good,17.11.2021
131,,male,2.0,own,little,little,6887,36.0,education,bad,18.11.2021
132,,male,1.0,own,little,,2708,15.0,furniture/equipment,good,19.11.2021
133,,male,2.0,free,little,,1984,18.0,furniture/equipment,good,20.11.2021
134,,female,2.0,own,moderate,,10144,60.0,radio/TV,good,21.11.2021
135,,female,2.0,own,,,1240,12.0,radio/TV,good,22.11.2021
136,,male,2.0,own,rich,,8613,27.0,car,good,23.11.2021
137,,male,1.0,own,quite rich,moderate,766,12.0,radio/TV,bad,24.11.2021
138,,male,2.0,own,,moderate,2728,15.0,radio/TV,good,25.11.2021
139,,female,1.0,rent,little,rich,1881,12.0,radio/TV,good,26.11.2021
140,,male,0.0,own,rich,rich,709,6.0,car,good,27.11.2021
141,,female,3.0,own,little,moderate,4795,36.0,radio/TV,good,28.11.2021
142,,male,3.0,own,little,little,3416,27.0,radio/TV,good,29.11.2021
143,,male,2.0,own,little,little,2462,18.0,furniture/equipment,bad,30.11.2021
144,,female,2.0,own,little,,2288,21.0,furniture/equipment,good,01.12.2021
145,,male,2.0,own,moderate,moderate,3566,48.0,business,good,02.12.2021
146,,female,2.0,own,little,little,860,6.0,car,good,03.12.2021
147,,female,2.0,own,moderate,,682,12.0,car,good,04.12.2021
148,,male,2.0,own,little,little,5371,36.0,furniture/equipment,good,05.12.2021
149,,male,2.0,own,rich,,1582,18.0,radio/TV,good,06.12.2021
150,,male,2.0,free,moderate,,1346,6.0,radio/TV,good,07.12.2021
151,,male,2.0,own,little,,1924,10.0,radio/TV,good,08.12.2021
152,,male,2.0,own,little,rich,5848,36.0,radio/TV,good,09.12.2021
153,,female,2.0,rent,rich,moderate,7758,24.0,car,good,10.12.2021
154,,male,3.0,rent,moderate,moderate,6967,24.0,business,good,11.12.2021
155,,female,2.0,rent,little,little,1282,12.0,furniture/equipment,bad,12.12.2021
156,,male,2.0,own,moderate,little,1288,9.0,repairs,good,13.12.2021
157,,male,1.0,own,little,little,339,12.0,education,good,14.12.2021
158,,male,2.0,own,moderate,moderate,3512,24.0,car,good,15.12.2021
159,,male,1.0,own,,,1898,6.0,radio/TV,good,16.12.2021
160,,male,2.0,own,moderate,,2872,24.0,radio/TV,good,17.12.2021
161,,female,2.0,own,little,,1055,18.0,car,good,18.12.2021
162,,male,2.0,own,quite rich,,1262,15.0,domestic appliances,good,19.12.2021
163,,male,3.0,free,little,moderate,7308,10.0,car,good,20.12.2021
164,,male,2.0,own,quite rich,,909,36.0,car,good,21.12.2021
165,,male,2.0,own,quite rich,,2978,6.0,furniture/equipment,good,22.12.2021
166,,female,2.0,own,little,little,1131,18.0,furniture/equipment,bad,23.12.2021
167,,female,2.0,own,rich,moderate,1577,11.0,furniture/equipment,good,24.12.2021
168,,female,2.0,rent,little,,3972,24.0,furniture/equipment,good,25.12.2021
169,,male,2.0,own,little,moderate,1935,24.0,business,bad,26.12.2021
170,,male,2.0,rent,little,little,950,15.0,car,bad,27.12.2021
171,,female,2.0,own,little,,763,12.0,furniture/equipment,good,28.12.2021
172,,female,3.0,own,little,moderate,2064,24.0,furniture/equipment,bad,29.12.2021
173,,male,2.0,own,little,moderate,1414,8.0,radio/TV,good,30.12.2021
174,,male,2.0,own,little,little,3414,21.0,education,bad,31.12.2021
175,,female,3.0,own,,,7485,30.0,car,bad,01.01.2022
176,,male,2.0,own,little,little,2577,12.0,furniture/equipment,good,02.01.2022
177,,male,2.0,own,quite rich,little,338,6.0,radio/TV,good,03.01.2022
178,,male,3.0,rent,little,,1963,12.0,radio/TV,good,04.01.2022
179,,male,2.0,own,little,little,571,21.0,car,good,05.01.2022
180,,male,2.0,own,little,,9572,36.0,business,bad,06.01.2022
181,,male,3.0,own,little,moderate,4455,36.0,business,bad,07.01.2022
182,,male,1.0,own,,little,1647,21.0,car,bad,08.01.2022
183,,male,2.0,own,rich,,3777,24.0,furniture/equipment,good,09.01.2022
184,,male,2.0,own,little,moderate,884,18.0,car,bad,10.01.2022
185,,male,2.0,own,little,,1360,15.0,radio/TV,good,11.01.2022
186,,female,3.0,free,little,moderate,5129,9.0,car,bad,12.01.2022
187,,male,0.0,free,little,moderate,1175,16.0,car,good,13.01.2022
188,,male,2.0,own,moderate,little,674,12.0,radio/TV,bad,14.01.2022
189,,female,2.0,own,little,moderate,3244,18.0,furniture/equipment,good,15.01.2022
190,,male,3.0,own,rich,,4591,24.0,business,bad,16.01.2022
191,,male,1.0,free,moderate,moderate,3844,48.0,business,bad,17.01.2022
192,,male,2.0,own,little,moderate,3915,27.0,business,bad,18.01.2022
193,,male,2.0,rent,little,,2108,6.0,radio/TV,good,19.01.2022
194,,male,2.0,rent,moderate,moderate,3031,45.0,radio/TV,bad,20.01.2022
195,,female,3.0,own,little,moderate,1501,9.0,education,bad,21.01.2022
196,,female,2.0,own,little,,1382,6.0,radio/TV,good,22.01.2022
197,,female,2.0,rent,moderate,moderate,951,12.0,furniture/equipment,bad,23.01.2022
198,,male,2.0,free,,moderate,2760,24.0,car,good,24.01.2022
199,,male,3.0,own,little,moderate,4297,18.0,furniture/equipment,bad,25.01.2022
200,,male,2.0,own,quite rich,,936,9.0,education,good,26.01.2022
201,,male,1.0,own,little,little,1168,12.0,car,good,27.01.2022
202,,male,2.0,own,little,,5117,27.0,business,good,28.01.2022
203,,male,2.0,rent,little,little,902,12.0,education,bad,29.01.2022
204,,male,1.0,own,little,,1495,12.0,car,good,30.01.2022
205,,male,3.0,free,little,little,10623,30.0,car,good,31.01.2022
206,,male,2.0,own,little,,1935,12.0,furniture/equipment,good,01.02.2022
207,,male,2.0,own,little,moderate,1424,12.0,domestic appliances,good,02.02.2022
208,,male,1.0,own,little,little,6568,24.0,business,good,03.02.2022
209,,male,2.0,own,rich,,1413,12.0,car,good,04.02.2022
210,33.0,male,2.0,own,,,3074,9.0,radio/TV,good,05.02.2022
211,45.0,female,1.0,own,,,3835,36.0,radio/TV,good,06.02.2022
212,50.0,male,2.0,own,little,little,5293,27.0,business,bad,07.02.2022
213,66.0,male,3.0,own,little,rich,1908,30.0,business,bad,08.02.2022
214,51.0,male,2.0,own,,,3342,36.0,radio/TV,good,09.02.2022
215,39.0,female,1.0,own,,moderate,932,6.0,education,good,10.02.2022
216,31.0,male,2.0,own,little,little,3104,18.0,business,good,11.02.2022
217,23.0,male,2.0,own,little,rich,3913,36.0,radio/TV,good,12.02.2022
218,24.0,male,1.0,rent,little,little,3021,24.0,furniture/equipment,good,13.02.2022
219,64.0,female,2.0,own,little,,1364,10.0,car,good,14.02.2022
220,26.0,male,1.0,own,little,moderate,625,12.0,radio/TV,good,15.02.2022
221,23.0,female,2.0,rent,,little,1200,12.0,education,good,16.02.2022
222,30.0,male,2.0,own,little,,707,12.0,radio/TV,good,17.02.2022
223,32.0,male,2.0,own,,,2978,24.0,business,good,18.02.2022
224,30.0,male,2.0,own,little,,4657,15.0,car,good,19.02.2022
225,27.0,male,2.0,own,little,,2613,36.0,repairs,good,20.02.2022
226,27.0,male,2.0,own,rich,moderate,10961,48.0,radio/TV,bad,21.02.2022
227,53.0,male,3.0,free,little,little,7865,12.0,furniture/equipment,bad,22.02.2022
228,22.0,male,2.0,own,little,,1478,9.0,radio/TV,bad,23.02.2022
229,22.0,male,2.0,free,little,little,3149,24.0,furniture/equipment,good,24.02.2022
230,26.0,male,2.0,own,little,rich,4210,36.0,radio/TV,bad,25.02.2022
231,51.0,male,1.0,free,quite rich,,2507,9.0,car,good,26.02.2022
232,35.0,male,2.0,own,moderate,,2141,12.0,radio/TV,good,27.02.2022
233,25.0,male,1.0,own,little,moderate,866,18.0,radio/TV,good,28.02.2022
234,42.0,male,1.0,own,little,,1544,4.0,radio/TV,good,01.03.2022
235,30.0,male,3.0,own,little,little,1823,24.0,radio/TV,bad,02.03.2022
236,23.0,male,0.0,own,,moderate,14555,6.0,car,bad,03.03.2022
237,61.0,male,1.0,rent,moderate,moderate,2767,21.0,business,bad,04.03.2022
238,35.0,female,2.0,own,little,,1291,12.0,radio/TV,good,05.03.2022
239,39.0,male,2.0,own,little,little,2522,30.0,radio/TV,good,06.03.2022
240,29.0,female,2.0,own,,little,915,24.0,car,bad,07.03.2022
241,51.0,male,2.0,own,little,,1595,6.0,radio/TV,good,08.03.2022
242,24.0,male,2.0,free,little,little,4605,48.0,car,bad,09.03.2022
243,27.0,female,2.0,own,little,,1185,12.0,business,good,10.03.2022
244,35.0,female,1.0,own,quite rich,,3447,12.0,education,good,11.03.2022
245,25.0,male,2.0,own,little,,1258,24.0,business,good,12.03.2022
246,52.0,male,2.0,own,little,,717,12.0,radio/TV,good,13.03.2022
247,35.0,male,2.0,rent,moderate,,1204,6.0,car,good,14.03.2022
248,26.0,male,2.0,own,little,rich,1925,24.0,furniture/equipment,good,15.03.2022
249,22.0,female,2.0,rent,little,,433,18.0,radio/TV,bad,16.03.2022
250,39.0,female,1.0,own,rich,little,666,6.0,car,good,17.03.2022
251,46.0,female,1.0,own,little,rich,2251,12.0,furniture/equipment,good,18.03.2022
252,24.0,female,2.0,own,little,moderate,2150,30.0,car,bad,19.03.2022
253,35.0,male,2.0,own,moderate,,4151,24.0,furniture/equipment,good,20.03.2022
254,24.0,male,2.0,own,,moderate,2030,9.0,furniture/equipment,good,21.03.2022
255,27.0,male,1.0,own,,moderate,7418,60.0,radio/TV,good,22.03.2022
256,35.0,male,1.0,own,little,,2684,24.0,radio/TV,good,23.03.2022
257,29.0,male,2.0,free,little,little,2149,12.0,radio/TV,bad,24.03.2022
258,23.0,female,2.0,own,moderate,,3812,15.0,car,good,25.03.2022
259,57.0,female,1.0,own,moderate,,1154,11.0,radio/TV,good,26.03.2022
260,27.0,male,2.0,own,little,little,1657,12.0,furniture/equipment,good,27.03.2022
261,55.0,female,2.0,own,little,little,1603,24.0,radio/TV,good,28.03.2022
262,36.0,male,3.0,free,little,little,5302,18.0,car,good,29.03.2022
263,57.0,female,1.0,free,little,,2748,12.0,education,good,30.03.2022
264,32.0,male,1.0,own,little,,1231,10.0,car,good,31.03.2022
265,37.0,male,2.0,own,little,moderate,802,15.0,radio/TV,bad,01.04.2022
266,36.0,male,2.0,own,,,6304,36.0,business,good,02.04.2022
267,38.0,female,,own,little,,1533,24.0,radio/TV,good,03.04.2022
268,45.0,male,,own,little,little,8978,14.0,car,bad,04.04.2022
269,25.0,male,,own,,,999,24.0,radio/TV,good,05.04.2022
270,32.0,male,,own,,,2662,18.0,car,good,06.04.2022
271,37.0,female,,rent,quite rich,,1402,12.0,furniture/equipment,good,07.04.2022
272,36.0,male,,free,,moderate,12169,48.0,car,good,08.04.2022
273,28.0,male,,own,little,moderate,3060,48.0,radio/TV,bad,09.04.2022
274,34.0,male,,own,little,little,11998,30.0,repairs,bad,10.04.2022
275,32.0,male,,own,little,,2697,9.0,radio/TV,good,11.04.2022
276,26.0,female,,own,little,,2404,18.0,radio/TV,good,12.04.2022
277,49.0,male,,own,,little,1262,12.0,furniture/equipment,good,13.04.2022
278,32.0,female,,own,little,,4611,6.0,furniture/equipment,bad,14.04.2022
279,29.0,male,,rent,moderate,,1901,24.0,radio/TV,good,15.04.2022
280,23.0,male,,rent,rich,,3368,15.0,car,good,16.04.2022
281,50.0,male,,own,little,,1574,12.0,furniture/equipment,good,17.04.2022
282,49.0,male,,own,,rich,1445,18.0,radio/TV,good,18.04.2022
283,63.0,male,,own,,,1520,15.0,furniture/equipment,good,19.04.2022
284,37.0,male,,own,moderate,moderate,3878,24.0,car,good,20.04.2022
285,35.0,female,,own,little,little,10722,47.0,car,good,21.04.2022
286,26.0,male,,own,little,little,4788,48.0,car,good,22.04.2022
287,31.0,male,,free,moderate,moderate,7582,48.0,vacation/others,good,23.04.2022
288,49.0,female,,own,little,moderate,1092,12.0,radio/TV,good,24.04.2022
289,48.0,male,,own,little,little,1024,24.0,radio/TV,bad,25.04.2022
290,26.0,male,,own,little,,1076,12.0,business,good,26.04.2022
291,28.0,male,,rent,little,moderate,9398,36.0,car,bad,27.04.2022
292,44.0,female,,free,little,little,6419,24.0,car,good,28.04.2022
293,56.0,male,,free,little,rich,4796,42.0,car,good,29.04.2022
294,46.0,male,,own,,,7629,48.0,business,good,30.04.2022
295,26.0,female,,own,little,moderate,9960,48.0,furniture/equipment,bad,01.05.2022
296,20.0,female,,rent,,,4675,12.0,car,good,02.05.2022
297,45.0,male,,own,,,1287,10.0,car,good,03.05.2022
298,43.0,male,,own,little,,2515,18.0,furniture/equipment,good,04.05.2022
299,32.0,male,,own,rich,moderate,2745,21.0,furniture/equipment,good,05.05.2022
300,54.0,female,,own,little,,672,6.0,car,good,06.05.2022
301,42.0,female,,own,little,moderate,3804,36.0,radio/TV,bad,07.05.2022
302,37.0,male,,own,,rich,1344,24.0,car,bad,08.05.2022
303,49.0,male,2.0,own,little,little,1038,10.0,car,good,09.05.2022
304,44.0,male,2.0,free,quite rich,,10127,48.0,car,bad,10.05.2022
305,33.0,male,2.0,own,rich,,1543,6.0,furniture/equipment,good,11.05.2022
306,24.0,female,1.0,rent,,,4811,30.0,car,good,12.05.2022
307,33.0,male,1.0,own,moderate,little,727,12.0,radio/TV,bad,13.05.2022
308,24.0,female,2.0,own,little,moderate,1237,8.0,furniture/equipment,bad,14.05.2022
309,22.0,male,1.0,rent,little,moderate,276,9.0,car,good,15.05.2022
310,40.0,male,0.0,free,,moderate,5381,48.0,vacation/others,good,16.05.2022
311,25.0,male,2.0,own,moderate,,5511,24.0,furniture/equipment,good,17.05.2022
312,26.0,female,2.0,own,little,rich,3749,24.0,furniture/equipment,good,18.05.2022
313,25.0,male,1.0,own,little,moderate,685,12.0,car,bad,19.05.2022
314,29.0,male,1.0,own,,rich,1494,4.0,car,good,20.05.2022
315,31.0,male,2.0,own,little,little,2746,36.0,furniture/equipment,bad,21.05.2022
316,38.0,male,1.0,own,little,little,708,12.0,furniture/equipment,good,22.05.2022
317,48.0,female,1.0,own,,moderate,4351,24.0,furniture/equipment,good,23.05.2022
318,32.0,male,2.0,own,little,,701,12.0,education,good,24.05.2022
319,27.0,female,1.0,own,little,little,3643,15.0,furniture/equipment,good,25.05.2022
320,28.0,male,3.0,own,little,moderate,4249,30.0,car,bad,26.05.2022
321,32.0,male,2.0,own,little,little,1938,24.0,radio/TV,bad,27.05.2022
322,34.0,male,3.0,free,little,little,2910,24.0,car,good,28.05.2022
323,28.0,male,2.0,own,rich,little,2659,18.0,furniture/equipment,good,29.05.2022
324,36.0,female,2.0,own,little,,1028,18.0,car,good,30.05.2022
325,39.0,male,1.0,own,little,little,3398,8.0,car,good,31.05.2022
326,49.0,male,2.0,rent,,,5801,12.0,furniture/equipment,good,01.06.2022
327,34.0,female,2.0,own,rich,,1525,24.0,car,good,02.06.2022
328,31.0,male,2.0,own,little,rich,4473,36.0,radio/TV,good,03.06.2022
329,28.0,male,2.0,own,little,moderate,1068,6.0,radio/TV,good,04.06.2022
330,75.0,male,3.0,free,little,little,6615,24.0,car,good,05.06.2022
331,30.0,female,2.0,own,moderate,,1864,18.0,education,bad,06.06.2022
332,24.0,female,3.0,own,moderate,moderate,7408,60.0,car,bad,07.06.2022
333,24.0,female,1.0,rent,moderate,,11590,48.0,car,bad,08.06.2022
334,23.0,male,2.0,rent,little,little,4110,24.0,furniture/equipment,bad,09.06.2022
335,44.0,male,3.0,rent,little,little,3384,6.0,furniture/equipment,bad,10.06.2022
336,23.0,female,1.0,own,little,moderate,2101,13.0,radio/TV,good,11.06.2022
337,24.0,female,2.0,rent,,little,1275,15.0,domestic appliances,bad,12.06.2022
338,28.0,male,2.0,own,little,little,4169,24.0,furniture/equipment,good,13.06.2022
339,31.0,male,1.0,own,little,moderate,1521,10.0,furniture/equipment,good,14.06.2022
340,24.0,female,2.0,free,little,moderate,5743,24.0,education,good,15.06.2022
341,26.0,female,1.0,rent,little,little,3599,21.0,furniture/equipment,good,16.06.2022
342,25.0,male,2.0,rent,quite rich,moderate,3213,18.0,radio/TV,good,17.06.2022
343,33.0,male,3.0,own,little,moderate,4439,18.0,business,good,18.06.2022
344,37.0,male,1.0,own,little,rich,3949,10.0,car,good,19.06.2022
345,43.0,female,1.0,own,little,,1459,15.0,radio/TV,good,20.06.2022
346,23.0,male,2.0,own,little,moderate,882,13.0,radio/TV,good,21.06.2022
347,23.0,female,0.0,rent,quite rich,moderate,3758,24.0,radio/TV,good,22.06.2022
348,34.0,male,1.0,own,moderate,,1743,6.0,business,good,23.06.2022
349,32.0,male,2.0,free,rich,moderate,1136,9.0,education,bad,24.06.2022
350,23.0,female,2.0,rent,little,,1236,9.0,domestic appliances,good,25.06.2022
351,29.0,female,2.0,own,little,moderate,959,9.0,furniture/equipment,bad,26.06.2022
352,38.0,male,3.0,own,,,3229,18.0,car,good,27.06.2022
353,28.0,male,2.0,rent,little,little,6199,12.0,radio/TV,bad,28.06.2022
354,46.0,male,2.0,free,quite rich,,727,10.0,education,good,29.06.2022
355,23.0,male,1.0,own,little,moderate,1246,24.0,car,bad,30.06.2022
356,49.0,male,2.0,own,,,2331,12.0,radio/TV,good,01.07.2022
357,26.0,male,3.0,own,little,,4463,36.0,radio/TV,bad,02.07.2022
358,28.0,male,2.0,own,little,,776,12.0,radio/TV,good,03.07.2022
359,23.0,female,2.0,rent,little,little,2406,30.0,furniture/equipment,bad,04.07.2022
360,61.0,male,2.0,free,,moderate,1239,18.0,education,good,10.07.2021
361,37.0,male,3.0,own,,rich,3399,12.0,radio/TV,good,11.07.2021
362,36.0,female,2.0,own,little,rich,2247,12.0,car,good,12.07.2021
363,21.0,male,2.0,rent,little,,1766,6.0,furniture/equipment,good,13.07.2021
364,25.0,male,0.0,own,little,little,2473,18.0,furniture/equipment,bad,14.07.2021
365,36.0,male,2.0,own,little,,1542,12.0,business,good,15.07.2021
