tips,lem_words,lem_tags,word_tags,lng,lat,polarity_pred
"If you love bands but want something different in the way of artwork to represent your love for them, this is the place to go. Limited ed prints. Tour posters with a twist. It has it all!",love band want something different way artwork represent love be place go limited ed print tour poster twist have,VB NN VB NN JJ NN NN VB NN VB NN VB JJ NN NN NN NN NN VB,"[love/VB, band/NN, want/VB, something/NN, different/JJ, way/NN, artwork/NN, represent/VB, love/NN, be/VB, place/NN, go/VB, limited/JJ, ed/NN, print/NN, tour/NN, poster/NN, twist/NN, have/VB]",51.4816676005,-0.00909757663917,2
"Lovely community centre. Sometimes open to the public as a bar. Local bands play and the wine is nice. Nice informal, don't feel rushed.",lovely community centre sometimes open public bar local band play wine be nice nice informal don feel rush,JJ NN NN RB JJ JJ NN JJ NN NN NN VB JJ JJ JJ VB NN VB,"[lovely/JJ, community/NN, centre/NN, sometimes/RB, open/JJ, public/JJ, bar/NN, local/JJ, band/NN, play/NN, wine/NN, be/VB, nice/JJ, nice/JJ, informal/JJ, don/VB, feel/NN, rush/VB]",51.5502521975,-0.0429009357443,2
Fantastic brunch. Great coffee and local beer. Amazing hot chocolate. Love it here.,fantastic brunch great coffee local beer amazing hot chocolate love here,JJ NN JJ NN JJ NN JJ JJ NN VB RB,"[fantastic/JJ, brunch/NN, great/JJ, coffee/NN, local/JJ, beer/NN, amazing/JJ, hot/JJ, chocolate/NN, love/VB, here/RB]",51.5353874141,-0.0132037689468,2
"The world’s only museum dedicated to fans. It’s a tiny space consisting of two rooms with an overall collection of 3,500 antique fans, some of which date as far back as the eleventh century.",world only museum dedicate fan tiny space consist room overall collection antique fan date far back eleventh century,NN JJ NN VB NN JJ NN VB NN JJ NN JJ NN NN RB RB JJ NN,"[world/NN, only/JJ, museum/NN, dedicate/VB, fan/NN, tiny/JJ, space/NN, consist/VB, room/NN, overall/JJ, collection/NN, antique/JJ, fan/NN, date/NN, far/RB, back/RB, eleventh/JJ, century/NN]",51.4792666151,-0.00799764466221,2
Atm there's Bao-Hoo art show at the gallery next door,atm bao hoo art show gallery next door,NN NN JJ NN NN NN JJ NN,"[atm/NN, bao/NN, hoo/JJ, art/NN, show/NN, gallery/NN, next/JJ, door/NN]",51.5290326145,-0.0178915234045,2
Tell people that the toilet in the end police cell is haunted and then flush the loo from the outside while they're in there. Mwa ha haaaaaa!,tell person toilet end police cell be haunt then flush loo outside re there mwa haaaaaa,VB NN NN NN NN NN VB VB RB VB NN JJ NN RB JJ NN,"[tell/VB, person/NN, toilet/NN, end/NN, police/NN, cell/NN, be/VB, haunt/VB, then/RB, flush/VB, loo/NN, outside/JJ, re/NN, there/RB, mwa/JJ, haaaaaa/NN]",51.4794793158,-0.0317190910236,2
Great landlord has injected new life in to this place. Traditional boozer. Lewisham's Pub of the Year 2010. Basement art gallery called Tank too.,great landlord have inject new life place traditional boozer lewisham pub year basement art gallery call tank too,JJ NN VB VB JJ NN NN JJ NN NN NN NN NN NN NN VB NN RB,"[great/JJ, landlord/NN, have/VB, inject/VB, new/JJ, life/NN, place/NN, traditional/JJ, boozer/NN, lewisham/NN, pub/NN, year/NN, basement/NN, art/NN, gallery/NN, call/VB, tank/NN, too/RB]",51.4564845734,-0.0215023055214,2
Magical place for weekend trip. Great for music lovers! You can also go on top of the lighthouse and have a view of Canary Wharf skyscrapers 💓,magical place weekend trip great music lover also go top lighthouse have view canary wharf skyscraper,JJ NN NN NN JJ NN NN RB VB NN NN VB NN JJ NN NN,"[magical/JJ, place/NN, weekend/NN, trip/NN, great/JJ, music/NN, lover/NN, also/RB, go/VB, top/NN, lighthouse/NN, have/VB, view/NN, canary/JJ, wharf/NN, skyscraper/NN]",51.5077109093,0.00820328504559,2
Lovely light airy studios and an Arts Award training centre. The Nunnery in particular is a wonderful space for gallery exhibitions and events.,lovely light airy studio art award training centre nunnery particular be wonderful space gallery exhibition event,JJ JJ JJ NN NN NN NN NN NN JJ VB JJ NN NN NN NN,"[lovely/JJ, light/JJ, airy/JJ, studio/NN, art/NN, award/NN, training/NN, centre/NN, nunnery/NN, particular/JJ, be/VB, wonderful/JJ, space/NN, gallery/NN, exhibition/NN, event/NN]",51.5289472449,-0.0175755939443,2
Be sure to visit the roof terrace for great views.,be sure visit roof terrace great view,VB JJ VB NN NN JJ NN,"[be/VB, sure/JJ, visit/VB, roof/NN, terrace/NN, great/JJ, view/NN]",51.539364,-0.02144,2
Super interesting gallery nearby the canal!,super interesting gallery nearby canal,JJ JJ NN RB NN,"[super/JJ, interesting/JJ, gallery/NN, nearby/RB, canal/NN]",51.5267560654,-0.03790964228,2
The new breakfast frontier! The food is amazing and the atmosphere is very good. Amazing staff. Highly recommended!!!,new breakfast frontier food be amazing atmosphere be very good amazing staff highly recommend,JJ NN NN NN VB JJ NN VB RB JJ JJ NN RB VB,"[new/JJ, breakfast/NN, frontier/NN, food/NN, be/VB, amazing/JJ, atmosphere/NN, be/VB, very/RB, good/JJ, amazing/JJ, staff/NN, highly/RB, recommend/VB]",51.531273705,-0.0386023521423,2
Buy any third game for just £1 (pp),buy third game just pp,VB JJ NN RB VB,"[buy/VB, third/JJ, game/NN, just/RB, pp/VB]",51.4627149497,-0.0085972969013,2
Great milkshakes - Reese's & Oreo are both a hit.,great milkshake reese oreo be hit,JJ NN VB JJ VB NN,"[great/JJ, milkshake/NN, reese/VB, oreo/JJ, be/VB, hit/NN]",51.5427293308,-0.00726056378661,2
Free foosball in the bar!,free foosball bar,JJ NN NN,"[free/JJ, foosball/NN, bar/NN]",51.575568781,0.179667461709,2
"Trinity Chapel Church is also located in Jenkins Lane, at the former bowling alley....",trinity chapel church be also locate jenkins lane former bowling alley,NN NN NN VB RB VB JJ NN JJ NN NN,"[trinity/NN, chapel/NN, church/NN, be/VB, also/RB, locate/VB, jenkins/JJ, lane/NN, former/JJ, bowling/NN, alley/NN]",51.5264329978,0.0804568928427,2
"Book in advance, lanes get filled quick! Especially on the weekends.",book advance lane get fill quick especially weekend,NN NN NN VB VB JJ RB NN,"[book/NN, advance/NN, lane/NN, get/VB, fill/VB, quick/JJ, especially/RB, weekend/NN]",51.4567017283,0.138167681493,2
Quiet like a graveyard on a Thursday night. Bar staff are hopeless at making drinks.,quiet graveyard thursday night bar staff be hopeless make drink,JJ NN NN NN NN NN VB JJ VB NN,"[quiet/JJ, graveyard/NN, thursday/NN, night/NN, bar/NN, staff/NN, be/VB, hopeless/JJ, make/VB, drink/NN]",51.5036271483,0.00328302383423,2
Fucking awful service. Go to the casino instead if you want sport,fucking awful service go casino instead want sport,JJ JJ NN VB NN RB VB NN,"[fucking/JJ, awful/JJ, service/NN, go/VB, casino/NN, instead/RB, want/VB, sport/NN]",51.5421796199,-0.00826416559531,2
"Always some great independent touring theatre productions, poetry and open mic nights.",always great independent touring theatre production poetry open mic night,RB JJ JJ NN NN NN NN JJ JJ NN,"[always/RB, great/JJ, independent/JJ, touring/NN, theatre/NN, production/NN, poetry/NN, open/JJ, mic/JJ, night/NN]",51.4777402352,-0.0276079847273,2
Check out the Sunday Special for awesome comedians every week!,check sunday special awesome comedian week,NN NN JJ JJ NN NN,"[check/NN, sunday/NN, special/JJ, awesome/JJ, comedian/NN, week/NN]",51.4814667231,-0.0116150324026,2
"Refurbished in summer 2015, it's far more upbeat, with interior & exterior (especially garden) done up very nicely. Great atmosphere & service, good drinks & food. Quality comedy club nights launched.",refurbish summer far more upbeat interior exterior especially garden do very nicely great atmosphere service good drink food quality comedy club night launch,VB NN RB RB JJ JJ JJ RB NN VB RB RB JJ NN NN JJ NN NN NN NN NN NN VB,"[refurbish/VB, summer/NN, far/RB, more/RB, upbeat/JJ, interior/JJ, exterior/JJ, especially/RB, garden/NN, do/VB, very/RB, nicely/RB, great/JJ, atmosphere/NN, service/NN, good/JJ, drink/NN, food/NN, quality/NN, comedy/NN, club/NN, night/NN, launch/VB]",51.4809795815,0.0792239675782,2
What a wonderful afternoon entertainment with very nice sandwiches and cakes,wonderful afternoon entertainment very nice sandwich cake,JJ NN NN RB JJ NN NN,"[wonderful/JJ, afternoon/NN, entertainment/NN, very/RB, nice/JJ, sandwich/NN, cake/NN]",51.5026354061,0.0428804755211,2
Two for one cocktails good value,cocktail good value,NN JJ NN,"[cocktail/NN, good/JJ, value/NN]",51.5022613846,0.00409829390562,2
The AR Rahman concert was great. Amazing hall with huge seating capacity.,ar rahman concert be great amazing hall huge seating capacity,JJ NN NN VB JJ JJ NN JJ NN NN,"[ar/JJ, rahman/NN, concert/NN, be/VB, great/JJ, amazing/JJ, hall/NN, huge/JJ, seating/NN, capacity/NN]",51.5029737935,0.00409617445395,2
its gorgeous when your drunk,gorgeous drunk,JJ NN,"[gorgeous/JJ, drunk/NN]",51.5128070746,-0.044016279425,2
Love this place. Variety choice for food. Enjoy movie in cineworld. And concert hall. Exhibition. Or have some drinking session. Occasionally with skate available. Sometime unexpected new stuffs.,love place variety choice food enjoy movie cineworld concert hall exhibition have drink session occasionally skate available sometime unexpected new stuff,VB NN NN NN NN VB NN NN NN NN NN VB VB NN RB VB JJ RB JJ JJ NN,"[love/VB, place/NN, variety/NN, choice/NN, food/NN, enjoy/VB, movie/NN, cineworld/NN, concert/NN, hall/NN, exhibition/NN, have/VB, drink/VB, session/NN, occasionally/RB, skate/VB, available/JJ, sometime/RB, unexpected/JJ, new/JJ, stuff/NN]",51.5024317147,0.00466203052933,2
Go past Paul on 1st floor to find the best exhibits.,go past paul st floor find best exhibit,VB RB VB NN NN VB JJ NN,"[go/VB, past/RB, paul/VB, st/NN, floor/NN, find/VB, best/JJ, exhibit/NN]",51.4813292233,-0.0055809605092,2
"Go see the Crown Jewels early, before the queue starts. Have lunch before 12 at the Cafe. The lamb and rice was excellent. Then, see the White Tower while everyone else is having lunch.",go see crown jewel early queue start have lunch before cafe lamb rice be excellent then see white tower everyone else be have lunch,VB VB NN NN RB NN NN VB NN RB NN NN NN VB JJ RB VB JJ NN NN RB VB VB NN,"[go/VB, see/VB, crown/NN, jewel/NN, early/RB, queue/NN, start/NN, have/VB, lunch/NN, before/RB, cafe/NN, lamb/NN, rice/NN, be/VB, excellent/JJ, then/RB, see/VB, white/JJ, tower/NN, everyone/NN, else/RB, be/VB, have/VB, lunch/NN]",51.5086257738,-0.0754760702378,2
Amazing exhibit,amazing exhibit,JJ NN,"[amazing/JJ, exhibit/NN]",51.5072101735,0.0167774156589,2
"Art off the beaten track in Bow, East London, just keep an eye on their schedule of exhibits - http://www.bowarts.org/nunnery",art beaten track bow east london just keep eye schedule exhibit http www bowart org nunnery,NN JJ NN NN RB NN RB VB NN NN NN NN VB NN JJ NN,"[art/NN, beaten/JJ, track/NN, bow/NN, east/RB, london/NN, just/RB, keep/VB, eye/NN, schedule/NN, exhibit/NN, http/NN, www/VB, bowart/NN, org/JJ, nunnery/NN]",51.5292141882,-0.0169734915194,2
"Err. You mean the original translation ""hardware"" right? 😜",err mean original translation hardware right,NN VB JJ NN NN RB,"[err/NN, mean/VB, original/JJ, translation/NN, hardware/NN, right/RB]",51.519302493,-0.127416422027,2
Give them to greece!!!!,give greece,VB NN,"[give/VB, greece/NN]",51.518977266,-0.127983914089,2
Very interesting exhibits about the early days of astronomy. Check out Yuri Gagarin's statue.,very interesting exhibit early day astronomy check yuri gagarin statue,RB JJ NN JJ NN NN VB NN NN NN,"[very/RB, interesting/JJ, exhibit/NN, early/JJ, day/NN, astronomy/NN, check/VB, yuri/NN, gagarin/NN, statue/NN]",51.4771332098,-0.00075101852417,2
Brilliant exhibition! VIP section well worth it.,brilliant exhibition vip section well,JJ NN NN NN RB,"[brilliant/JJ, exhibition/NN, vip/NN, section/NN, well/RB]",51.504177,0.0035750493,2
Like going to 100 museums in one go. Perfect,go museum go perfect,VB NN VB JJ,"[go/VB, museum/NN, go/VB, perfect/JJ]",51.525502,-0.148811,2
Seasonal butterfly house. A lovely 30mins and some beautiful creatures. Open until mid-September,seasonal butterfly house lovely mins beautiful creature open mid september,JJ NN NN JJ NN JJ NN JJ JJ NN,"[seasonal/JJ, butterfly/NN, house/NN, lovely/JJ, mins/NN, beautiful/JJ, creature/NN, open/JJ, mid/JJ, september/NN]",51.496014,-0.17446093,2
Nothing much interesting. It can be funny for little kids. Just a few facts about tower exotic animals collection and some interactive boards which help you to understand the question better.,nothing much interesting be funny little kid just few fact tower exotic animal collection interactive board help understand question better,NN JJ JJ VB JJ JJ NN RB JJ NN NN JJ NN NN JJ NN VB VB NN RB,"[nothing/NN, much/JJ, interesting/JJ, be/VB, funny/JJ, little/JJ, kid/NN, just/RB, few/JJ, fact/NN, tower/NN, exotic/JJ, animal/NN, collection/NN, interactive/JJ, board/NN, help/VB, understand/VB, question/NN, better/RB]",51.5084776551,-0.0755163841686,2
Don't miss the storyboards and concept artwork upstairs. Amazing detail in them all.,don miss storyboard concept artwork upstairs amazing detail,VB VB NN NN NN JJ JJ NN,"[don/VB, miss/VB, storyboard/NN, concept/NN, artwork/NN, upstairs/JJ, amazing/JJ, detail/NN]",51.5123890601,-0.121110735314,2
A little underwhelming,little underwhelming,JJ NN,"[little/JJ, underwhelming/NN]",51.5053843438,-0.187685982377,2
Loads of piers and artifacts from one of the 7 wonders of the ancient world,load pier artifact wonder ancient world,NN NN NN NN JJ NN,"[load/NN, pier/NN, artifact/NN, wonder/NN, ancient/JJ, world/NN]",51.5193443298,-0.127260759473,2
Massive statue from the Easter Islands,massive statue easter island,JJ NN NN NN,"[massive/JJ, statue/NN, easter/NN, island/NN]",51.5198792945,-0.127372741699,2
Korean arts,korean art,NN NN,"[korean/NN, art/NN]",51.520068958,-0.127662030741,2
Asian arts,asian art,JJ NN,"[asian/JJ, art/NN]",51.520136,-0.127747,2
A walk in JK Rawlings mind,walk rawling mind,NN NN NN,"[walk/NN, rawling/NN, mind/NN]",51.529684,-0.127597,2
"Bilime gercekten merakliysaniz, bir gün planlayin.",bilime gercekten merakliysaniz bir gün planlayin,NN VB JJ NN NN NN,"[bilime/NN, gercekten/VB, merakliysaniz/JJ, bir/NN, gün/NN, planlayin/NN]",51.496117,-0.17531556,2
"Mid scale theatre, lots of short run productions from touring companies across the UK. Very relaxed atmostphere, interesting shows, low cost tickets, locally brewed beer!",mid scale theatre lot short run production tour company uk very relaxed interesting show low cost ticket locally brew beer,JJ NN NN NN JJ NN NN VB NN NN RB JJ JJ NN JJ NN NN RB VB NN,"[mid/JJ, scale/NN, theatre/NN, lot/NN, short/JJ, run/NN, production/NN, tour/VB, company/NN, uk/NN, very/RB, relaxed/JJ, interesting/JJ, show/NN, low/JJ, cost/NN, ticket/NN, locally/RB, brew/VB, beer/NN]",51.4795306132,-0.00763741502082,2
Great for kids,great kid,JJ NN,"[great/JJ, kid/NN]",51.5429440045,0.00170042126008,2
Claim £30 Free - Deposit £10. Play with £40. A great way to explore all the fun online @MeccaBingo http://ow.ly/wHfUt #MeccaBonus !!!!,claim free deposit play great way explore fun online meccabingo http ow ly whfut meccabonus,VB JJ NN NN JJ NN VB NN JJ NN NN NN NN VB NN,"[claim/VB, free/JJ, deposit/NN, play/NN, great/JJ, way/NN, explore/VB, fun/NN, online/JJ, meccabingo/NN, http/NN, ow/NN, ly/NN, whfut/VB, meccabonus/NN]",51.5326054528,0.137629313227,2
Claim £30 Free - Deposit £10. Play with £40. A great way to explore all the fun online @MeccaBingo http://ow.ly/wHfUt #MeccaBonus '''',claim free deposit play great way explore fun online meccabingo http ow ly whfut meccabonus,VB JJ NN NN JJ NN VB NN JJ NN NN NN NN VB NN,"[claim/VB, free/JJ, deposit/NN, play/NN, great/JJ, way/NN, explore/VB, fun/NN, online/JJ, meccabingo/NN, http/NN, ow/NN, ly/NN, whfut/VB, meccabonus/NN]",51.5702014344,0.128724575043,2
"Claim £30 Free - Deposit £10. Play with £40. A great way to explore all the fun online @MeccaBingo http://ow.ly/wHfUt #MeccaBonus """"",claim free deposit play great way explore fun online meccabingo http ow ly whfut meccabonus,VB JJ NN NN JJ NN VB NN JJ NN NN NN NN VB NN,"[claim/VB, free/JJ, deposit/NN, play/NN, great/JJ, way/NN, explore/VB, fun/NN, online/JJ, meccabingo/NN, http/NN, ow/NN, ly/NN, whfut/VB, meccabonus/NN]",51.450967,0.046834,2
Go check it out...,go check out,VB VB RB,"[go/VB, check/VB, out/RB]",51.501218515,0.00587097969592,2
"Claim £30 Free - Deposit £10. Play with £40. A great way to explore all the fun online @MeccaBingo http://ow.ly/wHfUt #MeccaBonus ,,,,",claim free deposit play great way explore fun online meccabingo http ow ly whfut meccabonus,VB JJ NN NN JJ NN VB NN JJ NN NN NN NN VB NN,"[claim/VB, free/JJ, deposit/NN, play/NN, great/JJ, way/NN, explore/VB, fun/NN, online/JJ, meccabingo/NN, http/NN, ow/NN, ly/NN, whfut/VB, meccabonus/NN]",51.5631498418,0.215162582953,2
Claim £30 Free - Deposit £10. Play with £40. A great way to explore all the fun online @MeccaBingo http://ow.ly/wHfUt #MeccaBonus ____,claim free deposit play great way explore fun online meccabingo http ow ly whfut meccabonus,VB JJ NN NN JJ NN VB NN JJ NN NN NN NN VB NN,"[claim/VB, free/JJ, deposit/NN, play/NN, great/JJ, way/NN, explore/VB, fun/NN, online/JJ, meccabingo/NN, http/NN, ow/NN, ly/NN, whfut/VB, meccabonus/NN]",51.5795796429,0.185475884156,2
Great place to kill time if you can spare the cash.,great place kill time spare cash,JJ NN VB NN VB NN,"[great/JJ, place/NN, kill/VB, time/NN, spare/VB, cash/NN]",51.5374514845,-0.00179705528075,2
CIRCUS SCHOOL is a great way to wear out your kids,circus school be great way wear kid,NN NN VB JJ NN VB NN,"[circus/NN, school/NN, be/VB, great/JJ, way/NN, wear/VB, kid/NN]",51.4083443677,0.178445049034,2
www.ButcherRowStudios.com These guys are good for recording your songs and stuff :),www com guy be good record song stuff,VB NN NN VB JJ VB NN NN,"[www/VB, com/NN, guy/NN, be/VB, good/JJ, record/VB, song/NN, stuff/NN]",51.5113332847,-0.0427436828613,2
Free Bingo on Thursdays :),free bingo thursday,JJ NN NN,"[free/JJ, bingo/NN, thursday/NN]",51.4961402371,-0.0432020602806,2
Best place for karting in london😍,best place kart london,JJ NN VB NN,"[best/JJ, place/NN, kart/VB, london/NN]",51.5317916097,0.118738740859,2
One of the best carting places in London,best cart place london,JJ VB NN NN,"[best/JJ, cart/VB, place/NN, london/NN]",51.4942273312,0.0356307371386,2
Go super fast and dont use the break,go super fast dont use break,VB JJ NN VB VB JJ,"[go/VB, super/JJ, fast/NN, dont/VB, use/VB, break/JJ]",51.4928590973,0.286247256913,2
"Good fun, good kart, good crew. Will recommend it to anyone!",good fun good kart good crew recommend anyone,JJ NN JJ NN JJ NN VB NN,"[good/JJ, fun/NN, good/JJ, kart/NN, good/JJ, crew/NN, recommend/VB, anyone/NN]",51.4944917367,-0.0640749599665,2
Waiting forevs 4 what??? No score sheets 😢,wait forevs score sheet,VB JJ NN NN,"[wait/VB, forevs/JJ, score/NN, sheet/NN]",51.517696246,-0.0303026791951,2
Great place for adults as well as children to enjoy gokarting,great place adult as well child enjoy gokart,JJ NN NN RB RB NN VB VB,"[great/JJ, place/NN, adult/NN, as/RB, well/RB, child/NN, enjoy/VB, gokart/VB]",51.3755679131,-0.268318,2
Nice track good location,nice track good location,JJ NN JJ NN,"[nice/JJ, track/NN, good/JJ, location/NN]",51.3756283554,-0.36218542099,2
14 October: Severndroog Castle is a folly which was built in 1784 as a memorial to William James of the East India Co. to commemorate the conquest of the castle off the coast of Malabar in the 1760s.,october severndroog castle be folly be build memorial william jame east india co commemorate conquest castle coast malabar,JJ NN NN VB NN VB VB NN NN NN JJ NN NN VB NN NN NN NN,"[october/JJ, severndroog/NN, castle/NN, be/VB, folly/NN, be/VB, build/VB, memorial/NN, william/NN, jame/NN, east/JJ, india/NN, co/NN, commemorate/VB, conquest/NN, castle/NN, coast/NN, malabar/NN]",51.4666953348,0.0600647073752,2
Amazing Art Deco.,amazing art deco,JJ NN NN,"[amazing/JJ, art/NN, deco/NN]",51.4472272129,0.0485587120056,2
You dont have to go inside there is a gate near the clock you can take photos there,dont have go be gate clock take photo there,VB VB VB VB NN NN VB NN RB,"[dont/VB, have/VB, go/VB, be/VB, gate/NN, clock/NN, take/VB, photo/NN, there/RB]",51.4779432265,-0.00164451601912,2
"Designed by Sir Christopher Wren, the college was going to have an enormous dome in the middle, but Queen Mary II objected as it would block the view of the river from her house in Greenwich Park.",design sir christopher wren college be go have enormous dome middle queen mary ii object block view river house greenwich park,VB NN NN VB NN VB VB VB JJ NN JJ NN JJ NN VB VB NN NN NN JJ NN,"[design/VB, sir/NN, christopher/NN, wren/VB, college/NN, be/VB, go/VB, have/VB, enormous/JJ, dome/NN, middle/JJ, queen/NN, mary/JJ, ii/NN, object/VB, block/VB, view/NN, river/NN, house/NN, greenwich/JJ, park/NN]",51.4832336577,-0.00557899475098,2
"Set in a stunning park, and sitting precisely on the Prime Meridian of the world, the Royal Observatory is a great way to spend an afternoon in South London.",set stunning park sit precisely prime meridian world royal observatory be great way spend afternoon south london,NN JJ NN VB RB JJ NN NN JJ NN VB JJ NN VB NN NN NN,"[set/NN, stunning/JJ, park/NN, sit/VB, precisely/RB, prime/JJ, meridian/NN, world/NN, royal/JJ, observatory/NN, be/VB, great/JJ, way/NN, spend/VB, afternoon/NN, south/NN, london/NN]",51.4771332098,-0.00075101852417,2
Has a new exercise area installed,have new exercise area install,VB JJ NN NN VB,"[have/VB, new/JJ, exercise/NN, area/NN, install/VB]",51.4895256283,0.125839320723,2
Worth a visit! http://www.visitleevalley.org.uk/en/content/cms/nature/nature-reserve/three-mills-island/,visit http www visitleevalley org uk content cms nature nature reserve mill island,NN NN VB NN NN NN NN NN NN NN NN NN NN,"[visit/NN, http/NN, www/VB, visitleevalley/NN, org/NN, uk/NN, content/NN, cms/NN, nature/NN, nature/NN, reserve/NN, mill/NN, island/NN]",51.5270383022,-0.00769315576429,2
Amazing space w cafe. It's an oasis in Bromley-by-Bow.,amazing space cafe oasis bromley bow,JJ NN NN NN NN NN,"[amazing/JJ, space/NN, cafe/NN, oasis/NN, bromley/NN, bow/NN]",51.5272333854,-0.00757851781601,2
Evensong is at 18:30.,evensong be,NN VB,"[evensong/NN, be/VB]",51.4832470203,-0.00512301921844,2
"Stinks like a rundown squat, then a pet shop, then death. Very damp and muddy. Come with a change of clothing.",stink rundown squat then pet shop then death very damp muddy come change clothing,VB NN JJ RB NN NN RB NN RB NN JJ NN NN NN,"[stink/VB, rundown/NN, squat/JJ, then/RB, pet/NN, shop/NN, then/RB, death/NN, very/RB, damp/NN, muddy/JJ, come/NN, change/NN, clothing/NN]",51.4939796963,0.0353625144095,2
"Despite being a senior citizen (compared to my teenagers & friends),good location, equipment, friendly manager Ronnie and accommodating marshalls we had Alex & Courtney. Recommended.",be senior citizen compare teenager friend good location equipment friendly manager ronnie accommodate marshall have alex courtney recommend,VB JJ NN VB NN NN JJ NN NN JJ NN NN VB NN VB JJ NN VB,"[be/VB, senior/JJ, citizen/NN, compare/VB, teenager/NN, friend/NN, good/JJ, location/NN, equipment/NN, friendly/JJ, manager/NN, ronnie/NN, accommodate/VB, marshall/NN, have/VB, alex/JJ, courtney/NN, recommend/VB]",51.6534147477,0.145147939098,2
"Noisy, hectic but the kids love it & the rounds of games are well organised. Drop the kids & come back if you can't take the bedlam! Good value though",noisy hectic kid love round game be well organise drop kid come back take bedlam good value,JJ JJ NN VB NN NN VB RB VB VB NN VB RB VB NN JJ NN,"[noisy/JJ, hectic/JJ, kid/NN, love/VB, round/NN, game/NN, be/VB, well/RB, organise/VB, drop/VB, kid/NN, come/VB, back/RB, take/VB, bedlam/NN, good/JJ, value/NN]",51.4086625024,0.0105844802857,2
Good on Brixton!,good brixton,JJ NN,"[good/JJ, brixton/NN]",51.4626639352,-0.115404725075,2
see the London wall,see london wall,VB NN NN,"[see/VB, london/NN, wall/NN]",51.509640471,-0.0774718703749,2
